llave_cod_cliente,admin_antiguedad_banco,admin_flag_gerenciado,buro_creditos_otros_bancos,buro_score_apc,buro_wallet_share,comp_flag_atm,comp_flag_bpi,comp_flag_cnb,comp_flag_pos,comp_flag_suc,comp_perc_atm,comp_perc_canal_fisico,comp_perc_cnb,comp_perc_bpi,comp_perc_pos,comp_perc_suc,comp_score_digital,comp_txn_atm,comp_txn_bpi,comp_txn_cnb,comp_txn_pos,comp_txn_suc,comp_usd_atm_prom,comp_usd_bpi_prom,comp_usd_cnb_prom,comp_usd_pos_prom,comp_usd_suc_prom,dem_edad,dem_planilla,finc_bal_act,finc_bal_pas,finc_perc_act_tc,finc_perc_pas_tc,finc_sva,finc_tamano_comercial,pdcto_flag_auto,pdcto_flag_cta_ahorro,pdcto_flag_cta_corriente,pdcto_flag_cta_dpf,pdcto_flag_financomer,pdcto_flag_garantizado,pdcto_flag_hipoteca,pdcto_flag_pp,pdcto_flag_seguros,pdcto_flag_tiene_tdc,pdcto_flag_tiene_tdd,pdcto_ivc_actual
155449,20,0,1,839,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,4593.75,0,1,0,31.170524,4593.75,0,0,0,0,0,0,0,0,1,1,0,1
155706,20,0,0,543,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,300,51,0,0,15.94,0,1,1.303705,15.94,0,1,0,0,0,0,0,0,0,0,0,1
155735,20,0,1,628,0.33,1,1,0,1,1,0.19,0,0,0,0.74,0.06,0,39,1,0,154,13,251.666666,25.273333,0,186.405833,1178.725,47,0,13080.27,0,1,0,14.224867,13080.27,0,1,1,0,0,0,1,0,0,0,1,3
156174,20,0,1,811,0.08,1,0,0,0,1,0.07,0,0,0,0,0.93,0,1,0,0,0,14,1.25,0,0,0,216.016666,48,0,4144.1782,512.2018,0.89,0.11,29.921868,4656.38,1,1,0,0,0,0,0,0,1,1,0,3
156194,20,0,1,476,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,10417.22,0,1,0,11.995801,10417.22,0,1,0,0,0,0,0,1,0,0,0,2
156406,20,0,1,561,0,1,0,0,1,0,0.63,0,0,0,0.37,0,0,239,0,0,139,0,870.833333,0,0,351.528333,0,44,1,0,1796.12,0,1,2.775398,1796.12,0,0,1,0,0,0,0,0,0,0,1,1
156901,20,0,0,757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,14501.52,0,1,0,10.145764,14501.52,0,0,0,0,0,0,1,0,0,0,0,1
156929,20,0,1,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,1.303705,0,0,1,0,0,0,0,0,0,0,0,0,1
156992,20,0,1,549,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,8650.29,0,1,0,10.145764,8650.29,0,0,0,0,0,0,1,0,0,0,0,1
157045,20,0,1,670,0,1,0,0,1,0,0.93,0,0,0,0.07,0,0,115,0,0,9,0,1223.333333,0,0,28.684166,0,59,1,0,300.44,0,1,2.152527,300.44,0,1,0,0,0,0,0,0,0,0,1,1
157450,20,0,1,498,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2.174166,31,0,0,68.08,0,1,3.911115,68.08,0,1,1,0,0,0,0,0,0,0,0,2
157503,20,0,1,631,0,1,0,0,1,0,0.91,0,0,0,0.09,0,0,59,0,0,6,0,587.083333,0,0,54.335833,0,38,1,0,8.81,0,1,2.775398,8.81,0,0,1,0,0,0,0,0,0,0,1,1
157601,20,0,1,475,0.99,1,0,0,0,1,0.89,0,0,0,0,0.11,0,100,0,0,0,12,1054.166666,0,0,0,851.5,51,1,8269.35,0,1,0,12.844623,8269.35,0,1,0,0,0,0,0,1,0,0,1,2
157693,20,0,1,677,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,6.87,0,1,,6.87,0,1,0,0,0,0,0,0,0,0,0,1
157694,20,0,1,717,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,125,41,0,0,508.38,0,1,1.303705,508.38,0,1,0,0,0,0,0,0,0,0,0,1
157743,20,0,1,664,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,4722.27,0,1,0,10.692096,4722.27,0,0,0,0,0,0,0,1,0,0,0,1
157876,20,0,0,466,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,20449.94,0,1,0,10.692096,20449.94,0,0,0,0,0,0,0,1,0,0,0,1
158051,20,0,1,669,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,13293.4,0,1,0,10.692096,13293.4,0,0,0,0,0,0,0,1,0,0,0,1
158187,20,0,1,530,0,1,0,0,0,1,0.99,0,0,0,0,0.01,0,82,0,0,0,1,2317.083333,0,0,0,53.42,66,1,0,3.28,0,1,5.09258,3.28,0,1,0,0,0,0,0,0,0,0,1,1
158220,20,0,1,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0.02,0,1,1.303705,0.02,0,1,1,0,0,0,0,0,0,0,0,2
158299,20,0,1,843,0.39,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,102.333333,0,0,0,29,0,2567.32,0,1,0,18.278588,2567.32,0,1,0,0,0,0,0,0,1,1,1,2
158312,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,1.3,0,1,0.848822,1.3,0,1,1,0,0,0,0,0,0,0,1,2
158400,20,0,1,592,0,0,1,0,0,1,0,0,0,0.13,0,0.88,0,0,1,0,0,7,0,19.166666,0,0,199.241666,43,0,17601.03,0,1,0,12.07234,17601.03,0,0,1,0,0,0,1,0,0,0,0,2
158437,20,0,1,650,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,11911.82,0,1,0,10.692096,11911.82,0,0,0,0,0,0,0,1,0,0,0,1
158465,20,0,1,438,0,1,0,0,1,0,0.79,0,0,0,0.21,0,0,46,0,0,12,0,672.916666,0,0,13.1225,0,54,0,0,0.86,0,1,2.152527,0.86,0,1,0,0,0,0,0,0,0,0,1,1
159009,20,0,1,570,0,1,0,0,0,1,0.98,0,0,0,0,0.02,0,56,0,0,0,1,793.75,0,0,0,70.833333,64,1,0,19.1,0,1,18.592527,19.1,0,1,0,0,0,0,0,0,0,0,1,1
159141,20,0,1,638,0.22,1,0,0,1,1,0.81,0,0,0,0.13,0.06,0,118,0,0,19,9,1316.25,0,0,96.351666,268.75,53,0,3635.1612,36.7188,0.99,0.01,17.737789,3671.88,0,1,0,0,0,0,0,0,1,1,1,2
159208,20,0,1,762,0,1,0,0,1,0,0.83,0,0,0,0.17,0,0,110,0,0,22,0,1114.166666,0,0,124.636666,0,51,1,0,91.68,0,1,2.152527,91.68,0,1,0,0,0,0,0,0,0,0,1,1
